(-19.696,3.47377)
(0,-0)
(14.7635,83.708)
(-4.93247,87.1818)
(-9.84801,1.73689)
(4.91554,85.4449)
(-4.74362,88.0335)
(14.5747,82.8564)
(36.5775,164.959)
(17.2592,170.136)
(4.91554,85.4449)
(26.9183,167.548)
(17.5215,170.968)
(36.3151,164.127)
(65.3897,244)
(46.5961,250.841)
(26.9183,167.548)
(55.9929,247.421)
(46.93,251.647)
(65.0559,243.194)
(100.981,320.229)
(82.8551,328.682)
(55.9929,247.421)
(91.918,324.456)
(91.918,344.456)
(91.918,324.456)
(176.918,324.456)
(176.918,344.456)
(91.918,334.456)
(176.918,334.456)
(203.773,243.192)
(221.899,251.643)
(185.981,328.681)
(167.855,320.23)
(212.836,247.417)
(176.918,324.456)
(232.506,164.122)
(251.3,170.961)
(222.233,250.837)
(203.439,243.998)
(241.903,167.542)
(212.836,247.417)
(254.239,82.8492)
(273.558,88.0245)
(251.563,170.129)
(232.244,164.954)
(263.898,85.4369)
(241.903,167.542)
(268.806,-0.00852966)
(288.502,3.46342)
(273.747,87.1728)
(254.05,83.7009)
(278.654,1.72745)
(263.898,85.4369)
(124.418,334.456)
(144.418,334.455)
(144.422,419.455)
(124.422,419.456)
(134.418,334.456)
(134.422,419.456)
(124.422,419.456)
(144.422,419.455)
(144.426,504.455)
(124.426,504.456)
(134.422,419.456)
(134.426,504.456)
(124.426,504.456)
(144.426,504.455)
(144.43,589.455)
(124.43,589.456)
(134.426,504.456)
(134.43,589.456)
(99.4299,599.456)
(99.4299,579.456)
(169.43,579.456)
(169.43,599.456)
(99.4299,589.456)
(169.43,589.456)
(124.43,589.456)
(144.43,589.455)
(144.432,644.455)
(124.432,644.456)
(134.43,589.456)
(134.432,644.456)
(48.2675,510.845)
(65.5877,500.844)
(108.09,574.455)
(90.7698,584.456)
(56.9276,505.845)
(99.4299,579.456)
(18.4562,429.392)
(37.2498,422.551)
(66.3244,502.424)
(47.5308,509.265)
(27.853,425.972)
(56.9276,505.845)
(3.2415,344.001)
(22.9375,340.527)
(37.701,424.235)
(18.005,427.709)
(13.0895,342.264)
(27.853,425.972)
(203.265,500.841)
(220.586,510.84)
(178.09,584.455)
(160.769,574.456)
(211.925,505.841)
(169.43,579.456)
(231.595,422.546)
(250.39,429.385)
(221.322,509.26)
(202.528,502.421)
(240.993,425.965)
(211.925,505.841)
(245.9,340.52)
(265.596,343.992)
(250.841,427.701)
(231.144,424.229)
(255.748,342.256)
(240.993,425.965)
